date,num_search
2021/03/21,32
2021/03/28,26
2021/04/04,28
2021/04/11,17
2021/04/18,19
2021/04/25,18
2021/05/02,15
2021/05/09,18
2021/05/16,16
2021/05/23,19
2021/05/30,18
2021/06/06,15
2021/06/13,17
2021/06/20,12
2021/06/27,11
2021/07/04,16
2021/07/11,10
2021/07/18,17
2021/07/25,13
2021/08/01,12
2021/08/08,18
2021/08/15,15
2021/08/22,24
2021/08/29,33
2021/09/05,27
2021/09/12,22
2021/09/19,21
2021/09/26,23
2021/10/03,32
2021/10/10,32
2021/10/17,36
2021/10/24,41
2021/10/31,61
2021/11/07,100
2021/11/14,88
2021/11/21,91
2021/11/28,77
2021/12/05,75
2021/12/12,62
2021/12/19,61
2021/12/26,63
2022/01/02,72
2022/01/09,71
2022/01/16,84
2022/01/23,65
2022/01/30,64
2022/02/06,81
2022/02/13,85
2022/02/20,69
2022/02/27,63
2022/03/06,53
2022/03/13,70
