date,num_search
2021-03-21,38
2021-03-28,39
2021-04-04,36
2021-04-11,31
2021-04-18,32
2021-04-25,27
2021-05-02,27
2021-05-09,25
2021-05-16,29
2021-05-23,26
2021-05-30,28
2021-06-06,30
2021-06-13,31
2021-06-20,37
2021-06-27,34
2021-07-04,40
2021-07-11,29
2021-07-18,27
2021-07-25,25
2021-08-01,23
2021-08-08,31
2021-08-15,35
2021-08-22,38
2021-08-29,33
2021-09-05,30
2021-09-12,31
2021-09-19,31
2021-09-26,33
2021-10-03,33
2021-10-10,29
2021-10-17,30
2021-10-24,33
2021-10-31,100
2021-11-07,79
2021-11-14,70
2021-11-21,61
2021-11-28,50
2021-12-05,47
2021-12-12,38
2021-12-19,48
2021-12-26,43
2022-01-02,39
2022-01-09,38
2022-01-16,32
2022-01-23,35
2022-01-30,33
2022-02-06,33
2022-02-13,35
2022-02-20,33
2022-02-27,30
2022-03-06,34
2022-03-13,32
