date,num_search
2021-03-21,2
2021-03-28,2
2021-04-04,2
2021-04-11,3
2021-04-18,2
2021-04-25,3
2021-05-02,2
2021-05-09,2
2021-05-16,2
2021-05-23,2
2021-05-30,2
2021-06-06,3
2021-06-13,3
2021-06-20,3
2021-06-27,2
2021-07-04,2
2021-07-11,3
2021-07-18,2
2021-07-25,5
2021-08-01,4
2021-08-08,3
2021-08-15,2
2021-08-22,2
2021-08-29,2
2021-09-05,3
2021-09-12,2
2021-09-19,3
2021-09-26,5
2021-10-03,3
2021-10-10,3
2021-10-17,3
2021-10-24,3
2021-10-31,3
2021-11-07,4
2021-11-14,3
2021-11-21,2
2021-11-28,4
2021-12-05,3
2021-12-12,3
2021-12-19,4
2021-12-26,4
2022-01-02,100
2022-01-09,45
2022-01-16,10
2022-01-23,9
2022-01-30,4
2022-02-06,5
2022-02-13,8
2022-02-20,5
2022-02-27,3
2022-03-06,17
2022-03-13,5
